GSM1156797	Batch_BGI_A_L01_AC
GSM1156798	Batch_BGI_A_L01_BC
GSM1156799	Batch_BGI_A_L02_AC
GSM1156800	Batch_BGI_A_L02_BC
GSM1156801	Batch_BGI_A_L03_AC
GSM1156802	Batch_BGI_A_L03_BC
GSM1156803	Batch_BGI_A_L04_AC
GSM1156804	Batch_BGI_A_L04_BC
GSM1156813	Batch_BGI_A2_L01_AC
GSM1156814	Batch_BGI_A2_L01_BC
GSM1156815	Batch_BGI_A2_L02_AC
GSM1156816	Batch_BGI_A2_L02_BC
GSM1156817	Batch_BGI_A2_L03_AC
GSM1156818	Batch_BGI_A2_L03_BC
GSM1156819	Batch_BGI_A2_L04_AC
GSM1156820	Batch_BGI_A2_L04_BC
GSM1156829	Batch_BGI_A3_L01_AC
GSM1156830	Batch_BGI_A3_L01_BC
GSM1156831	Batch_BGI_A3_L02_AC
GSM1156832	Batch_BGI_A3_L02_BC
GSM1156833	Batch_BGI_A3_L03_AC
GSM1156834	Batch_BGI_A3_L03_BC
GSM1156835	Batch_BGI_A3_L04_AC
GSM1156836	Batch_BGI_A3_L04_BC
